Subject ID, Image number,Gender-Discrete,Gender-Nominal,Glasses-Discrete,Glasses-Nominal,Eye state-Discrete,Eye state-Nominal,Reflections-Ordinal,Reflections-Nominal,Lightning conditions-Ordinal,Lightning conditions-Nominal,Sensor Type-Ordinal,Sensor type-nominal,Resolution-Categorical
1,2,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,3,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,4,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,5,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,6,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,7,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,8,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,9,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,10,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,11,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,12,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,13,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,14,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,15,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,16,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,17,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,18,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,19,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,20,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,21,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,22,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,23,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
1,24,0,Male,0,No,0,Close,0,Non,0,Bad,1,RealSense_SR300,640x480
